"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
40,477,6,153.20062538541,43,4,4.4995792202099,1.4459173719472,0.25,0.652390649309707,"MED LOW"
41,486,5,146.473285597353,43,3,3.49807350143165,1.4459173719472,0.25,0.486633543937493,"MED LOW"
41,492,11,152.419234099815,43,3,3.50009966705345,1.4459173719472,0.25,0.634188424103074,"MED LOW"
42,496,4,138.881857768725,43,2,2.50007010253966,1.4459173719472,0.25,0.304861339085186,"MED LOW"
41,488,7,160.934131072295,44,4,4.50031601500475,1.38953459354097,0.25,0.804516495661447,"MED LOW"
41,489,8,165.159782718551,44,4,4.50082123149374,1.38953459354097,0.25,0.863398207076362,"MED LOW"
42,493,1,142.015796986677,44,3,3.4998190811505,1.38953459354097,0.25,0.376118078996608,"MED LOW"
42,501,9,149.034938490774,44,3,3.50281790802953,1.38953459354097,0.25,0.551470067782878,"MED LOW"
43,508,5,127.686527187638,44,2,2.50152219983252,1.38953459354097,0.25,0.123365047573224,"MED LOW"
41,489,8,178.138923222999,45,5,5.50040578222428,1.42642517999832,0.25,0.959363717357557,"MED LOW"
42,496,4,187.042317118754,45,4,4.49949204836365,1.42642517999832,0.25,0.983136421302464,"MED LOW"
42,500,8,160.778078019337,45,4,4.4990361659967,1.42642517999832,0.25,0.802012617080623,"MED LOW"
42,501,9,165.954428858096,45,4,4.50076825126227,1.42642517999832,0.25,0.872638096086401,"MED LOW"
43,504,1,151.157160483248,45,3,3.50143290778193,1.42642517999832,0.25,0.603982397207841,"MED LOW"
43,508,5,149.658767853368,45,3,3.49900477732476,1.42642517999832,0.25,0.567080881457175,"MED LOW"
43,510,7,155.632460192086,45,3,3.49983717242423,1.42642517999832,0.25,0.706091059694672,"MED LOW"
43,516,13,144.119154808795,45,3,3.50130531235939,1.42642517999832,0.25,0.427392165050936,"MED LOW"
42,500,8,172.919940363309,46,5,5.49995613126395,1.352151677859,0.25,0.932874908289414,"MED LOW"
42,501,9,179.088187930126,46,5,5.49833489920708,1.352151677859,0.25,0.962959164679637,"MED LOW"
44,518,2,153.959796331152,46,3,3.49975957076906,1.352151677859,0.25,0.669659332418805,"MED LOW"
44,522,6,142.829838868071,46,3,3.50100510086407,1.352151677859,0.25,0.395701921615478,"MED LOW"
45,534,8,121.565355409169,46,2,2.50060824334652,1.352151677859,0.25,0.0702771406313731,"MED LOW"
46,542,8,97.4160153758133,46,1,1.50091733487363,1.352151677859,0.25,0.0064681248626045,"MED LOW"
42,500,8,182.229310722046,47,6,6.49963870871148,1.35728714680036,0.25,0.972798787459498,"MED LOW"
44,518,2,172.225976975881,47,4,4.49929981332065,1.35728714680036,0.25,0.928325902874272,"MED LOW"
45,527,1,163.523315556524,47,3,3.49896950930194,1.35728714680036,0.25,0.842593304579806,"MED LOW"
45,530,4,151.615542874524,47,3,3.50069651202838,1.35728714680036,0.25,0.615058745284973,"MED LOW"
45,531,5,155.289082492304,47,3,3.50135687308482,1.35728714680036,0.25,0.698804247325454,"MED LOW"
45,533,7,158.234786762295,47,3,3.49987277013493,1.35728714680036,0.25,0.757807149784942,"MED LOW"
44,522,6,169.766529420307,48,5,5.50091457771016,1.55469917699194,0.25,0.90982826837729,"MED LOW"
46,541,7,150.621711487321,48,3,3.50090211203264,1.55469917699194,0.25,0.590908172738248,"MED LOW"
46,542,8,145.093574290615,48,3,3.49961129930758,1.55469917699194,0.25,0.451759540574319,"MED LOW"
44,522,6,178.637913295764,49,6,6.49937097115607,1.50636947369351,0.25,0.961293513462754,"MED LOW"
46,537,3,151.482987055674,50,5,5.49925630199365,0.619387425931827,0.25,0.611867347849555,"MED LOW"
47,546,3,167.666245081261,50,4,4.50127071500294,0.619387425931827,0.25,0.890737158615591,"MED LOW"
47,548,5,155.862061964521,50,4,4.50123400068392,0.619387425931827,0.25,0.710905570943477,"MED LOW"
49,565,2,135.20096318558,50,2,2.50130328317028,0.619387425931827,0.25,0.231833997229429,"MED LOW"
47,548,5,167.095644193411,51,5,5.50078182368019,0.545979764088718,0.25,0.884969773201188,"MED LOW"
49,565,2,160.216820942137,51,3,3.50030112557522,0.545979764088718,0.25,0.792808015358326,"MED LOW"
49,568,5,147.908764394137,51,3,3.50028582728341,0.545979764088718,0.25,0.523050901160164,"MED LOW"
47,548,5,175.603977181063,52,6,6.5002581442389,0.589912896584986,0.25,0.948055137371369,"MED LOW"
51,585,8,129.286872236426,52,2,2.50091642461673,0.589912896584986,0.25,0.142039119669307,"MED LOW"
47,548,5,182.048202073331,53,7,7.49966138555488,0.523796156707593,0.25,0.972307953096271,"MED LOW"
50,574,3,150.75494409699,53,4,4.50139407274322,0.523796156707593,0.25,0.594174167874883,"MED LOW"
51,580,3,144.79682316637,53,3,3.49948949328405,0.523796156707593,0.25,0.444308588585252,"MED LOW"
51,581,4,161.056841849617,53,3,3.50009439804118,0.523796156707593,0.25,0.806468506126813,"MED LOW"
50,574,3,161.080209166103,54,5,5.50044582695326,0.486648473853195,0.25,0.80683853583585,"MED LOW"
51,580,3,160.59520352502,54,4,4.4997755390388,0.486648473853195,0.25,0.799047744026978,"MED LOW"
51,581,4,181.345427386032,54,4,4.49825530455155,0.486648473853195,0.25,0.970320588664005,"MED LOW"
52,589,4,156.655234250398,54,3,3.49975572751632,0.486648473853195,0.25,0.727171488350837,"MED LOW"
53,597,5,122.218833876402,54,2,2.49963683959438,0.486648473853195,0.25,0.0747378295794987,"MED LOW"
52,586,1,151.375521364445,55,4,4.50081692501074,0.617694515818047,0.25,0.609272941673144,"MED LOW"
52,587,2,149.212980256416,55,4,4.5005494477914,0.617694515818047,0.25,0.555937151823526,"MED LOW"
53,595,3,140.138573466688,55,3,3.50014264504498,0.617694515818047,0.25,0.332553839907815,"MED LOW"
53,597,5,142.089724235472,55,3,3.50213313167136,0.617694515818047,0.25,0.377881019656337,"MED LOW"
53,598,6,151.752468314264,55,3,3.49954901510223,0.617694515818047,0.25,0.618344980454354,"MED LOW"
55,610,6,99.1621796914044,55,1,1.49862768335139,0.617694515818047,0.25,0.00771313378771366,"MED LOW"
52,589,4,190.772068110084,56,5,5.50095152529549,0.516265621545047,0.25,0.988390821941689,"MED LOW"
53,594,2,156.244308968371,56,4,4.50038500216307,0.516265621545047,0.25,0.718816105774861,"MED LOW"
53,595,3,154.745580641405,56,4,4.50080812882041,0.516265621545047,0.25,0.687063672402824,"MED LOW"
53,597,5,157.190504028334,56,4,4.49870956363199,0.516265621545047,0.25,0.737819518601754,"MED LOW"
53,598,6,169.409262258976,56,4,4.49928667720759,0.516265621545047,0.25,0.906807732949603,"MED LOW"
54,602,4,148.351925398995,56,3,3.50066137680442,0.516265621545047,0.25,0.534262271307993,"MED LOW"
55,605,1,123.536475401719,56,2,2.50187039130846,0.516265621545047,0.25,0.0845318286987123,"MED LOW"
54,600,2,153.709149421408,57,4,4.49925837923671,0.585821351141677,0.25,0.664005557402254,"MED LOW"
55,606,2,157.073203462213,57,3,3.49833182872008,0.585821351141677,0.25,0.735509146927411,"MED LOW"
56,618,6,135.647249886278,57,2,2.49900866550183,0.585821351141677,0.25,0.240001420412275,"MED LOW"
55,605,1,159.471878324492,58,4,4.49868396547106,0.566749019453971,0.25,0.780108620437865,"MED LOW"
56,616,4,164.182352416493,58,3,3.50071548712501,0.566749019453971,0.25,0.851265991528544,"MED LOW"
56,618,6,160.849461810358,58,3,3.49920531130384,0.566749019453971,0.25,0.803160959458342,"MED LOW"
56,619,7,141.432639370186,58,3,3.49914716487754,0.566749019453971,0.25,0.362329570748807,"MED LOW"
56,615,3,165.256164234842,59,4,4.49861289943227,0.514802442860597,0.25,0.864548267670929,"MED LOW"
56,618,6,181.077598219925,59,4,4.50079015639824,0.514802442860597,0.25,0.969527364159699,"MED LOW"
56,619,7,156.36628529041,59,4,4.5012427754706,0.514802442860597,0.25,0.721312467296567,"MED LOW"
57,620,1,139.119432700766,59,3,3.50118129861911,0.514802442860597,0.25,0.30999712467093,"MED LOW"
57,622,3,146.979756450637,59,3,3.49979102000926,0.514802442860597,0.25,0.499486156251397,"MED LOW"
57,623,4,152.765368733262,59,3,3.50079832731314,0.514802442860597,0.25,0.642302472791365,"MED LOW"
57,626,7,155.294744221183,59,3,3.50130561626833,0.514802442860597,0.25,0.698925225873276,"MED LOW"
58,628,2,129.601004958501,59,2,2.50257301152949,0.514802442860597,0.25,0.145970479847786,"MED LOW"
58,629,3,128.737803199536,59,2,2.50104326692009,0.514802442860597,0.25,0.135380021713711,"MED LOW"
56,615,3,178.254013009429,60,5,5.49982005491199,0.60873236382303,0.25,0.959816832640582,"MED LOW"
