"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
9,1,195.441633117811,13,5,5.5017996020481,"M",0,0.25,0.992742199804907,"HIGH MED"
9,2,104.642365063992,9,1,1.50128310872104,"M",0,0.25,0.0133780527180353,"HIGH MED"
9,3,132.404029522036,10,2,2.49980497684187,"M",0,0.25,0.185131012226008,"HIGH MED"
9,4,98.8585322135067,9,1,1.50019878619874,"M",0,0.25,0.00748071748120034,"HIGH MED"
9,5,61.0470606140242,8,0,0.501567115527569,"M",0,0.25,0.000162120849411199,"HIGH MED"
9,6,141.438771572713,11,3,3.49924910904764,"M",0,0.25,0.362473436799296,"HIGH MED"
9,7,98.3151952339573,9,1,1.49859508347247,"M",0,0.25,0.00708205414343495,"HIGH MED"
9,8,155.948340211756,11,3,3.49852105573836,"M",0,0.25,0.7127025917524,"HIGH MED"
9,9,64.4572537208431,8,0,0.499578588621134,"M",0,0.25,0.000229182810372479,"HIGH MED"
9,10,195.201348244754,16,8,8.50064942564313,"M",0,0.25,0.992564288686161,"HIGH MED"
9,11,61.5583975368812,8,0,0.501238720840746,"M",0,0.25,0.000170758564621558,"HIGH MED"
9,12,123.322947977989,10,2,2.49861008512894,"M",0,0.25,0.0828691414895699,"HIGH MED"
10,1,60.7780658602325,9,0,0.500151550161863,"M",0,0.25,0.000157753664642135,"HIGH MED"
10,2,172.409388492334,12,3,3.50120292548994,"M",0,0.25,0.92955512695018,"HIGH MED"
10,3,64.3510483172533,9,0,0.501785577234928,"M",0,0.25,0.000226725300443478,"HIGH MED"
10,4,60.067281813511,9,0,0.500620700322057,"M",0,0.25,0.000146771670980179,"HIGH MED"
10,5,188.699044920071,17,8,8.50055310417081,"M",0,0.25,0.985710014282913,"HIGH MED"
10,6,191.557574044443,15,6,6.50012207493562,"M",0,0.25,0.989271196614457,"HIGH MED"
10,7,169.725157992377,14,5,5.50029478725181,"M",0,0.25,0.909483059027549,"HIGH MED"
10,8,134.202216199784,11,2,2.50054615752643,"M",0,0.25,0.214267792831966,"HIGH MED"
10,9,101.482581572385,10,1,1.50039176243593,"M",0,0.25,0.0097422635576121,"HIGH MED"
10,10,94.2123673303492,10,1,1.50011131774615,"M",0,0.25,0.00468052303272516,"HIGH MED"
10,11,217.815277253706,18,9,9.49918363378423,"M",0,0.25,0.999246511884447,"HIGH MED"
10,12,178.655952295614,14,5,5.50048496246093,"M",0,0.25,0.961361604489991,"HIGH MED"
11,1,62.0410795361396,10,0,0.499088096005532,"M",0,0.25,0.000179333989532969,"HIGH MED"
11,2,61.0257578035852,10,0,0.498950336659715,"M",0,0.25,0.000161770629782277,"HIGH MED"
11,3,62.3132063685868,10,0,0.497568245802109,"M",0,0.25,0.000184357091430903,"HIGH MED"
11,4,187.718680550618,15,5,5.50001716693231,"M",0,0.25,0.98423798032315,"HIGH MED"
11,5,61.3869561151475,10,0,0.500476513845945,"M",0,0.25,0.000167812409824876,"HIGH MED"
11,6,114.254694111383,12,2,2.50005587440124,"M",0,0.25,0.0347331913952106,"HIGH MED"
11,7,195.946535694347,19,9,9.49964744688534,"M",0,0.25,0.993102385870525,"HIGH MED"
11,8,100.86342625478,11,1,1.49949339167106,"M",0,0.25,0.00915410983176273,"HIGH MED"
11,9,62.4658077713082,10,0,0.498231541914693,"M",0,0.25,0.000187235221593607,"HIGH MED"
11,10,189.408606945857,15,5,5.49903541837276,"M",0,0.25,0.986690084855921,"HIGH MED"
11,11,91.6560442218322,11,1,1.50065845547767,"M",0,0.25,0.00361441798396409,"HIGH MED"
11,12,97.7736933469015,11,1,1.49955153456113,"M",0,0.25,0.00670573383651496,"HIGH MED"
11,13,141.596988522336,13,3,3.50091888429818,"M",0,0.25,0.366193781694544,"HIGH MED"
12,1,174.69892145117,16,5,5.50008433102207,"M",0,0.25,0.94333888314272,"HIGH MED"
12,2,152.465824164364,16,5,5.49861232446607,"M",0,0.25,0.635285147808559,"HIGH MED"
12,3,177.718840788466,16,5,5.50257305303565,"M",0,0.25,0.957667963979735,"HIGH MED"
12,4,99.9447785619406,12,1,1.50000036170027,"M",0,0.25,0.00834569639750644,"HIGH MED"
12,5,98.3753670723928,12,1,1.50120407253093,"M",0,0.25,0.00712514438302724,"HIGH MED"
12,6,96.0417219673893,12,1,1.4983043445334,"M",0,0.25,0.00563047448190667,"HIGH MED"
12,7,157.006333793635,15,4,4.49863318132322,"M",0,0.25,0.734186250702195,"HIGH MED"
12,8,62.2703755981171,11,0,0.500247687820009,"M",0,0.25,0.00018355726343452,"HIGH MED"
12,9,190.871097682409,15,4,4.49998627390681,"M",0,0.25,0.988505628992368,"HIGH MED"
12,10,98.1112337274091,12,1,1.50098130908422,"M",0,0.25,0.00693790922336399,"HIGH MED"
13,1,125.939276843045,14,2,2.4987497401747,"M",0,0.25,0.105425342209503,"HIGH MED"
13,2,62.2364621768679,12,0,0.498480047353941,"M",0,0.25,0.000182926421147826,"HIGH MED"
13,3,97.964214707651,13,1,1.5018706050146,"M",0,0.25,0.00683581753668028,"HIGH MED"
13,4,62.4695845335619,12,0,0.501874361704677,"M",0,0.25,0.000187307019812896,"HIGH MED"
13,5,151.820491309703,16,4,4.49827262432914,"M",0,0.25,0.619973547261892,"HIGH MED"
13,6,155.789331808321,16,4,4.49845174731485,"M",0,0.25,0.709385563716543,"HIGH MED"
13,7,197.182594830579,17,5,5.50103651951929,"M",0,0.25,0.993910966207575,"HIGH MED"
13,8,125.083414633549,14,2,2.49961299104372,"M",0,0.25,0.0975064474336009,"HIGH MED"
13,9,127.176640218786,14,2,2.49987904838341,"M",0,0.25,0.117874600517633,"HIGH MED"
13,10,164.406760289158,18,6,6.50133835727367,"M",0,0.25,0.854127780107455,"HIGH MED"
13,11,94.5195927045021,13,1,1.50040804188023,"M",0,0.25,0.00482810907307772,"HIGH MED"
13,12,166.497091557272,17,5,5.49970270560482,"M",0,0.25,0.878637031233606,"HIGH MED"
14,1,199.436863212371,24,11,11.4996616945966,"M",0,0.25,0.995150601695427,"HIGH MED"
14,2,63.6448354816975,13,0,0.499264942720628,"M",0,0.25,0.000211040777573924,"HIGH MED"
14,3,160.911432502578,16,3,3.49901857428257,"M",0,0.25,0.804153791260953,"HIGH MED"
14,4,196.980670377699,19,6,6.49809337893641,"M",0,0.25,0.993785624934769,"HIGH MED"
