"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
67,763,4,182.263934613639,71,5,5.50067754054181,0.31794733018734,0.25,0.972891656302878,"HIGH LOW"
67,764,5,181.386001130658,71,5,5.50078879008638,0.31794733018734,0.25,0.970438996088029,"HIGH LOW"
67,768,9,188.107560562883,71,5,5.50020374382933,0.31794733018734,0.25,0.984838948743174,"HIGH LOW"
69,780,1,142.381799334239,71,3,3.49926849997954,0.31794733018734,0.25,0.384877366170498,"HIGH LOW"
69,786,7,155.956630620866,71,3,3.50034110081559,0.31794733018734,0.25,0.712874914572681,"HIGH LOW"
62,709,10,216.266378829729,72,11,11.5011580534046,0.304160786402308,0.25,0.999118303164346,"HIGH LOW"
64,726,2,198.831228462244,72,9,9.50113111976109,0.304160786402308,0.25,0.994844631163062,"HIGH LOW"
67,760,1,191.031453814307,72,6,6.49867864998562,0.304160786402308,0.25,0.988689157893186,"HIGH LOW"
67,763,4,192.929845507136,72,6,6.49959796706146,0.304160786402308,0.25,0.990653533129179,"HIGH LOW"
67,768,9,199.665824675411,72,6,6.50053901673571,0.304160786402308,0.25,0.995261507371315,"HIGH LOW"
69,785,6,160.024536924433,72,4,4.49897730981404,0.304160786402308,0.25,0.78958275611653,"HIGH LOW"
69,786,7,174.782146648073,72,4,4.50056110336115,0.304160786402308,0.25,0.943788855415917,"HIGH LOW"
70,793,2,149.825503100245,72,3,3.50131589993907,0.304160786402308,0.25,0.57123214664402,"HIGH LOW"
70,799,8,138.891328059821,72,3,3.49871714719057,0.304160786402308,0.25,0.305065147986271,"HIGH LOW"
62,709,10,218.553605363215,73,12,12.4981714243335,0.27860765414832,0.25,0.999300893243974,"HIGH LOW"
64,726,2,202.037803237056,73,10,10.5002347692447,0.27860765414832,0.25,0.996271891024008,"HIGH LOW"
67,768,9,208.792486816494,73,7,7.49894045564537,0.27860765414832,0.25,0.998118754427442,"HIGH LOW"
69,785,6,172.025031829578,73,5,5.49902282871406,0.27860765414832,0.25,0.926956467580309,"HIGH LOW"
70,793,2,166.958006167875,73,4,4.49969125377192,0.27860765414832,0.25,0.883539499854964,"HIGH LOW"
70,799,8,153.186682175007,73,4,4.50082540768489,0.27860765414832,0.25,0.652069534636662,"HIGH LOW"
70,802,11,167.609642462823,73,4,4.49999689536064,0.27860765414832,0.25,0.890176577739085,"HIGH LOW"
70,803,12,159.959967782078,73,4,4.49791836094324,0.27860765414832,0.25,0.788491485959484,"HIGH LOW"
71,813,10,149.020681036757,73,3,3.49758379651077,0.27860765414832,0.25,0.551111977777655,"HIGH LOW"
71,814,11,143.508605315591,73,3,3.49901102296382,0.27860765414832,0.25,0.41229412814417,"HIGH LOW"
64,726,2,204.495630979841,74,11,11.5006381008566,0.401752267963619,0.25,0.997092842744105,"HIGH LOW"
67,768,9,215.999102016365,74,8,8.50061026667138,0.401752267963619,0.25,0.999094070698231,"HIGH LOW"
70,793,2,180.288246860296,74,5,5.49982548711602,0.401752267963619,0.25,0.967068347096244,"HIGH LOW"
70,799,8,163.939927064929,74,5,5.50055052089825,0.401752267963619,0.25,0.848122536071498,"HIGH LOW"
71,807,4,147.86627348098,74,4,4.49923616890373,0.401752267963619,0.25,0.521974537245214,"HIGH LOW"
71,809,6,172.271733055399,74,4,4.50142034616858,0.401752267963619,0.25,0.928634400587891,"HIGH LOW"
72,817,2,152.252863137175,74,3,3.49967751214448,0.401752267963619,0.25,0.630260771802258,"HIGH LOW"
73,833,5,132.850820129637,74,2,2.49895111244849,0.401752267963619,0.25,0.192072427761762,"HIGH LOW"
73,836,8,135.388611607106,74,2,2.50057137629073,0.401752267963619,0.25,0.235244300990372,"HIGH LOW"
64,726,2,206.379546883083,75,12,12.5002765043992,0.248400516819476,0.25,0.99759775549746,"HIGH LOW"
70,793,2,190.660071468554,75,6,6.49955013634244,0.248400516819476,0.25,0.988259615951143,"HIGH LOW"
70,799,8,172.028728134908,75,6,6.50021887125388,0.248400516819476,0.25,0.926981874026281,"HIGH LOW"
71,805,2,158.937588425429,75,5,5.49917983576035,0.248400516819476,0.25,0.770661780775828,"HIGH LOW"
71,809,6,186.664670829212,75,5,5.4997237742418,0.248400516819476,0.25,0.982488801847528,"HIGH LOW"
71,814,11,170.777766993172,75,5,5.49947689925756,0.248400516819476,0.25,0.917904732808842,"HIGH LOW"
73,829,1,149.513380262731,75,3,3.50088763466388,0.248400516819476,0.25,0.563453393022655,"HIGH LOW"
73,836,8,160.482749173756,75,3,3.49931169154305,0.248400516819476,0.25,0.797208128261394,"HIGH LOW"
73,838,10,150.704325063597,75,3,3.49917762737794,0.248400516819476,0.25,0.592934283582845,"HIGH LOW"
74,852,13,135.154945412133,75,2,2.49910825482226,0.248400516819476,0.25,0.231002965185933,"HIGH LOW"
