"Year","Age","AgeE","FSIM","Length_cm"
86,0,0.499226175952513,"LOW LOW",5.19212293397697
35,4,4.49929369714086,"LOW LOW",27.1489994491745
30,4,4.49849549516615,"LOW LOW",23.9204834794904
75,0,0.498437942062342,"LOW LOW",5.10412760766168
91,2,2.50099480542287,"LOW LOW",19.2604648064921
46,6,6.49873353749821,"LOW LOW",29.2469552834344
41,2,2.49800633270434,"LOW LOW",19.9193400577818
61,1,1.49910378930712,"LOW LOW",14.3317733927778
15,0,0.501721561264405,"LOW LOW",4.95658100686892
8,0,0.499566025094961,"LOW LOW",4.89740691421899
25,1,1.500741653288,"LOW LOW",14.1259802109199
59,0,0.500431057359586,"LOW LOW",4.79690348406735
32,9,9.4980675222998,"LOW LOW",29.8786957686158
37,1,1.49869501180673,"LOW LOW",14.0573788089643
26,10,10.5017562738571,"LOW LOW",28.6307054033389
25,3,3.50027570963424,"LOW LOW",22.6377794178621
31,5,5.49955648474035,"LOW LOW",27.473009103351
45,4,4.49828173257688,"LOW LOW",25.6638235444625
47,3,3.49890775633591,"LOW LOW",21.5676896919973
32,0,0.499544577343053,"LOW LOW",5.11542994763166
8,4,4.50017310841345,"LOW LOW",26.0135490034086
32,0,0.500346426176791,"LOW LOW",4.944628419134
56,2,2.50115399115573,"LOW LOW",19.3630952321272
15,0,0.500679785783343,"LOW LOW",5.03033665773691
25,9,9.49990502622565,"LOW LOW",25.8928617507354
28,3,3.50102669644301,"LOW LOW",23.4236339624628
58,0,0.499737580585274,"LOW LOW",4.96756938411596
53,1,1.50025819598879,"LOW LOW",13.5173732802127
21,3,3.50039073011616,"LOW LOW",23.1647856959424
41,2,2.49935773408894,"LOW LOW",18.0022578047777
53,2,2.50028420095252,"LOW LOW",19.5139705145284
56,3,3.49982990177301,"LOW LOW",22.5836201118763
45,4,4.49983036851387,"LOW LOW",25.0775500358755
50,2,2.50028967958685,"LOW LOW",19.1863503793118
40,0,0.499257245079422,"LOW LOW",5.18587244121042
17,5,5.49895479216857,"LOW LOW",25.6455738983957
40,4,4.49980473328312,"LOW LOW",22.4211922489162
34,2,2.50017648953706,"LOW LOW",19.444581450916
18,1,1.50020795392986,"LOW LOW",13.7195978907062
49,1,1.50042137540074,"LOW LOW",13.8260896799439
93,1,1.4993388246064,"LOW LOW",13.3396722758394
40,0,0.499680060361281,"LOW LOW",5.00640415103567
92,0,0.499868516491328,"LOW LOW",5.00878076486135
27,0,0.499570175208696,"LOW LOW",4.83411425361601
13,0,0.500099456524541,"LOW LOW",5.03298869017899
13,4,4.50024628381341,"LOW LOW",27.687716591073
26,6,6.50072461521627,"LOW LOW",29.9453900803964
18,2,2.50022439845679,"LOW LOW",19.2967425673745
43,3,3.50040916705347,"LOW LOW",21.899342840585
39,0,0.499065635717593,"LOW LOW",5.06492568673147
35,7,7.49988772763559,"LOW LOW",27.8956168946786
66,0,0.499288736640606,"LOW LOW",4.853395253063
18,0,0.501458547849016,"LOW LOW",4.91387549122801
94,1,1.501741363173,"LOW LOW",13.5820370553567
8,3,3.49984260627456,"LOW LOW",22.9607607212304
79,1,1.49828776838941,"LOW LOW",13.8923743460563
24,13,13.50038093363,"LOW LOW",29.7402705394792
18,5,5.50018772855146,"LOW LOW",28.4283631161575
11,4,4.50016745415132,"LOW LOW",24.3588828672815
30,9,9.4980913429412,"LOW LOW",26.0259133579979
90,1,1.50174118882378,"LOW LOW",13.737823384683
35,1,1.50042942123291,"LOW LOW",12.5739055227134
23,5,5.49935391784375,"LOW LOW",25.8783079220611
79,1,1.49939868882925,"LOW LOW",13.8383385706314
5,2,2.50001359965146,"LOW LOW",19.1387935703558
