"","Predicted","Year","Length_cm","Age","Sex","Latitude_dd","Longitude_dd","REG"
"24474",74.6922618864416,1993,83,14,"F",60.46667,-178.345,"North_Early"
"24475",72.2058603977873,1981,73,10,"F",58.3,-148.6167,"North_Early"
"24476",58.5854028839881,2004,56,5,"M",56.85,-135.9973333,"North_Early"
"24477",60.2517402012871,2004,56,4,"F",54.51,-159.2591667,"North_Early"
"24478",73.7238200023865,1996,79,12,"F",55.98167,-154.03016,"North_Early"
"24479",75.3101173813775,1993,72,16,"F",59.035,-147.8867,"North_Early"
"24480",59.2987946182774,2013,54,4,"F",53.59167,-168.3297,"North_Late"
"24481",66.0972200255199,2003,68,6,"F",57.63,-149.9168,"North_Early"
"24482",63.7130180014246,2008,63,15,"M",56.305,-153.0765,"North_Late"
"24483",64.4024049996513,2014,72,29,"M",55.98167,-154.0235,"North_Late"
"24484",64.4272182957456,2014,63,40,"M",58.29167,-148.6158,"North_Late"
"24485",64.1947367585421,2015,56,6,"F",55.76667,-155.137,"North_Late"
"24486",60.2517402012871,2000,53,4,"F",53.96833,-163.2663,"North_Early"
"24487",69.8265732158384,1985,61,8,"F",55.99333,-135.4333,"North_Early"
"24488",66.0410640504121,2013,70,7,"F",56.38333,-135.3508,"North_Late"
"24489",66.0972200255199,1989,59,6,"F",58.51167,-175.67,"North_Early"
"24490",59.751894499999,2014,61,7,"M",51.97,-176.4527,"North_Late"
"24491",67.5752676868978,2006,66,8,"F",52.28,-173.497,"North_Late"
"24492",64.501220192616,2003,68,28,"M",57.61833333,-136.5413333,"North_Early"
"24493",63.2615039675529,2003,68,10,"M",58.29166667,-148.6173333,"North_Early"
"24494",73.7238200023865,1987,91,12,"F",58.29,-148.63833,"North_Early"
"24495",64.1947367585421,2016,55,6,"F",55.23667,-156.6855,"North_Late"
"24496",69.9094434247163,2009,64,10,"F",53.97,-163.263,"North_Late"
"24497",64.4763029100113,2003,65,22,"M",58.29166667,-148.6173333,"North_Early"
"24498",58.5854028839881,2004,48,5,"M",51.405,-178.618,"North_Early"
"24499",64.1947367585421,2010,62,6,"F",54.46333333,-133.918,"North_Late"
"24500",58.5154230883658,2010,52,6,"M",51.91833333,-173.4973333,"North_Late"
"24501",68.1705315985811,1985,78,7,"F",55.43167,-168.0417,"North_Early"
"24502",60.7298427959416,2016,59,8,"M",58.29333,-148.6158,"North_Late"
"24503",68.8501125145567,2012,55,9,"F",55.76666667,-155.1365,"North_Late"
"24504",61.9727863031823,2011,60,5,"F",56.30167,-153.0822,"North_Late"
"24505",56.9520873188476,2009,54,5,"M",53.58333333,-165.6845,"North_Late"
"24506",73.4023570889842,2013,75,16,"F",54.36833,-160.2352,"North_Late"
"24507",74.2992428468968,2013,87,20,"F",56.855,-136.0045,"North_Late"
"24508",63.5014997041254,1991,64,5,"F",59.03833,-147.8917,"North_Early"
"24509",54.9754797683126,2011,53,4,"M",53.97,-163.2637,"North_Late"
"24510",64.3143347577865,1997,65,16,"M",55.80833,-168.8023,"North_Early"
"24511",61.503320339004,2017,64,9,"M",55.55667,-134.9752,"North_Late"
"24512",60.7298427959416,2017,68,8,"M",56.48333,-152.2175,"North_Late"
