"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
25,285,1,62.3692698173734,24,0,0.500429732064595,0,0.25,0.000185409296361565,"MED MED"
25,286,2,61.3056697234576,24,0,0.49956844201231,0,0.25,0.000166433349494606,"MED MED"
25,286,2,95.2431377374838,25,1,1.50062701989696,0,0.25,0.00519423921828096,"MED MED"
25,286,2,120.884071253915,26,2,2.49952689670763,0,0.25,0.0658897017771765,"MED MED"
25,286,2,140.256685360611,27,3,3.49902611784153,0,0.25,0.335220969660022,"MED MED"
25,286,2,154.893366863898,28,4,4.50012956197413,0,0.25,0.690280783323854,"MED MED"
25,286,2,165.951887115669,29,5,5.50109342792492,0,0.25,0.872609411303042,"MED MED"
25,286,2,174.306982506068,30,6,6.49928641112052,0,0.25,0.941173932890963,"MED MED"
25,286,2,180.619546700312,31,7,7.49879669351265,0,0.25,0.968122942751636,"MED MED"
25,286,2,185.388907772149,32,8,8.49988551550857,0,0.25,0.98011525111386,"MED MED"
25,286,2,188.992325390349,33,9,9.4996250542918,0,0.25,0.98612344308943,"MED MED"
25,286,2,191.714832312257,34,10,10.4987629399404,0,0.25,0.989439346267949,"MED MED"
25,287,3,62.65858321588,24,0,0.498907348330616,0,0.25,0.000190935360576565,"MED MED"
25,287,3,98.3897250201907,25,1,1.49957799481372,0,0.25,0.0071354647987766,"MED MED"
25,287,3,125.98160035071,26,2,2.49936725095824,0,0.25,0.105831303062459,"MED MED"
25,287,3,147.288268590544,27,3,3.50076323630741,0,0.25,0.507316626609172,"MED MED"
25,287,3,163.74144932017,28,4,4.5003443098279,0,0.25,0.845508503616387,"MED MED"
25,287,3,176.446727924718,29,5,5.50086020371469,0,0.25,0.952111024451285,"MED MED"
25,288,4,64.03995163084,24,0,0.499431621371601,0,0.25,0.000219677336495398,"MED MED"
25,288,4,101.649040957479,25,1,1.50026504528513,0,0.25,0.00990667196900576,"MED MED"
25,288,4,131.331342072963,26,2,2.50140191283938,0,0.25,0.169260670283953,"MED MED"
25,288,4,154.757567362768,27,3,3.49985597264765,0,0.25,0.687325285223323,"MED MED"
25,289,5,63.917654344812,24,0,0.500033816851853,0,0.25,0.000216967027290846,"MED MED"
25,289,5,101.358584862364,25,1,1.50159187041535,0,0.25,0.0096215531180887,"MED MED"
25,290,6,61.997217604932,24,0,0.498213725204467,0,0.25,0.000178537260415436,"MED MED"
25,290,6,96.8458935249953,25,1,1.50205312668658,0,0.25,0.00610656405398969,"MED MED"
25,290,6,123.472280195954,26,2,2.49909983396675,0,0.25,0.0840287977954874,"MED MED"
25,291,7,61.5956603745736,24,0,0.501674253460695,0,0.25,0.000171405722651731,"MED MED"
25,291,7,95.913795199564,25,1,1.50144345607668,0,0.25,0.0055582186450055,"MED MED"
25,291,7,121.964983957471,26,2,2.49866177421904,0,0.25,0.0729749249287303,"MED MED"
25,291,7,141.740663468056,27,3,3.49868946710185,0,0.25,0.369586078810283,"MED MED"
25,291,7,156.752550401112,28,4,4.5014139861196,0,0.25,0.729127353097471,"MED MED"
25,291,7,168.148201770271,29,5,5.49960013417325,0,0.25,0.895409387475128,"MED MED"
25,291,7,176.798737889183,30,6,6.49938376099595,0,0.25,0.9537145491583,"MED MED"
25,291,7,183.365433615513,31,7,7.5000920894933,0,0.25,0.975690281041077,"MED MED"
25,291,7,188.350268332048,32,8,8.49916633986995,0,0.25,0.985202531241063,"MED MED"
25,291,7,192.134298868371,33,9,9.50114945797803,0,0.25,0.989875217091198,"MED MED"
25,292,8,62.1052941850018,24,0,0.500950094519369,0,0.25,0.000180506831297328,"MED MED"
25,292,8,97.0974406764568,25,1,1.49848387614503,0,0.25,0.00626354606425866,"MED MED"
25,292,8,123.880054603947,26,2,2.50037845509964,0,0.25,0.0872708203067837,"MED MED"
25,292,8,144.379180285311,27,3,3.50028515330505,0,0.25,0.433865265366512,"MED MED"
25,293,9,65.1065986460493,24,0,0.501985964369912,0,0.25,0.000244798126988422,"MED MED"
25,293,9,104.197957146981,25,1,1.50120210851331,0,0.25,0.0127953793091691,"MED MED"
25,293,9,135.563985035406,26,2,2.49939970602882,0,0.25,0.238462781441654,"MED MED"
25,293,9,160.731381187013,27,3,3.50157660651435,0,0.25,0.801258685039311,"MED MED"
25,293,9,180.925134482937,28,4,4.50144428475382,0,0.25,0.969066682861581,"MED MED"
25,293,9,197.128148482484,29,5,5.50101022725251,0,0.25,0.993877419069108,"MED MED"
25,293,9,210.129082921082,30,6,6.50149863291968,0,0.25,0.998357096542935,"MED MED"
25,293,9,220.560740653491,31,7,7.49937988161284,0,0.25,0.99942971106448,"MED MED"
25,293,9,228.930868474694,32,8,8.49989485926218,0,0.25,0.999756131120195,"MED MED"
25,293,9,235.646871006642,33,9,9.49957768434564,0,0.25,0.999876670510184,"MED MED"
25,294,10,63.9820961540338,24,0,0.499270865836345,0,0.25,0.000218390970673138,"MED MED"
25,294,10,101.511588232833,25,1,1.50023049032265,0,0.25,0.00977071718314395,"MED MED"
25,295,11,60.8674643385161,24,0,0.50180737397744,0,0.25,0.000159191858745133,"MED MED"
25,295,11,94.233638662343,25,1,1.50063456977552,0,0.25,0.00469059515071212,"MED MED"
25,295,11,119.262747007625,26,2,2.49984756495017,0,0.25,0.0564534513040668,"MED MED"
25,295,11,138.037937069271,27,3,3.49945884219743,0,0.25,0.287012203980969,"MED MED"
26,296,1,63.9491927379879,25,0,0.50043413133046,0,0.25,0.00021766275427765,"MED MED"
26,296,1,101.43345328042,26,1,1.49966403148184,0,0.25,0.00969425897561621,"MED MED"
26,296,1,130.975308693696,27,2,2.49937462633425,0,0.25,0.164238310723395,"MED MED"
26,296,1,154.257646630467,28,3,3.50014236308086,0,0.25,0.676314562652253,"MED MED"
26,296,1,172.606773732294,29,4,4.49901231463987,0,0.25,0.930856214884751,"MED MED"
26,297,2,61.8743157309675,25,0,0.500997712671151,0,0.25,0.000176323612787653,"MED MED"
26,297,2,96.5601905028193,26,1,1.50185549797352,0,0.25,0.00593300464488253,"MED MED"
26,297,2,123.009650804777,27,2,2.50049383191644,0,0.25,0.0804833946826002,"MED MED"
26,297,2,143.178493449407,28,3,3.50003036748198,0,0.25,0.404197251117688,"MED MED"
26,298,3,62.6524474459253,25,0,0.498865282901576,0,0.25,0.000190816471529794,"MED MED"
26,298,3,98.3753526921442,26,1,1.4996892303004,0,0.25,0.0071251340540142,"MED MED"
26,298,3,125.958166406259,27,2,2.50033132783794,0,0.25,0.105606358113145,"MED MED"
26,299,4,64.286965336737,25,0,0.498989462160667,0,0.25,0.000225255232832276,"MED MED"
26,299,4,102.236822852112,26,1,1.50045641450953,0,0.25,0.0105094865333677,"MED MED"
26,299,4,132.303596554079,27,2,2.50030730295121,0,0.25,0.183597624859191,"MED MED"
26,299,4,156.124789571183,28,3,3.49936718481275,0,0.25,0.716356867607547,"MED MED"
26,299,4,174.997756866671,29,4,4.49891364314543,0,0.25,0.944939007092683,"MED MED"
26,299,4,189.950362064943,30,5,5.50092984049926,0,0.25,0.987393454353879,"MED MED"
26,299,4,201.796957182439,31,6,6.50152155188878,0,0.25,0.996179953805136,"MED MED"
26,299,4,211.182734043189,32,7,7.49959984593381,0,0.25,0.99852353300414,"MED MED"
26,299,4,218.618862855399,33,8,8.49817379903683,0,0.25,0.999305506831367,"MED MED"
26,299,4,224.510331673821,34,9,9.50091771181973,0,0.25,0.99961803836063,"MED MED"
26,299,4,229.178002946734,35,10,10.5005254728387,0,0.25,0.999762172743931,"MED MED"
26,299,4,232.876088395962,36,11,11.4982004381961,0,0.25,0.999836609402978,"MED MED"
26,299,4,235.805993950612,37,12,12.5021677112652,0,0.25,0.999878646788286,"MED MED"
26,299,4,238.127288760325,38,13,13.5006097748231,0,0.25,0.999904125092394,"MED MED"
