"Year","Age","AgeE","FSIM","Length_cm"
78,2,2.50138492845978,"LOW HIGH",12.7808209586342
22,1,1.49940138529798,"LOW HIGH",9.75201939844427
17,6,6.49999350758721,"LOW HIGH",19.628023200399
37,10,10.499712509485,"LOW HIGH",19.3970257198757
39,5,5.50147127447559,"LOW HIGH",18.2899261026418
72,6,6.49936981100049,"LOW HIGH",19.4904429723575
55,0,0.500217167996413,"LOW HIGH",6.33414282427728
10,1,1.50171618647117,"LOW HIGH",9.71316756257944
56,3,3.50067179677522,"LOW HIGH",13.5575663257244
46,0,0.49947451840584,"LOW HIGH",6.0941643418145
65,2,2.50068548566871,"LOW HIGH",12.0629954259255
87,1,1.50128634402988,"LOW HIGH",10.2460214101492
98,0,0.499576862912736,"LOW HIGH",6.62697499527771
86,2,2.50050582560088,"LOW HIGH",12.7231683346571
70,2,2.4980786430531,"LOW HIGH",12.3561903934036
62,0,0.499083611882662,"LOW HIGH",6.47857253779608
59,6,6.4987095813312,"LOW HIGH",18.50149078623
40,0,0.500958040559146,"LOW HIGH",6.18296716757894
81,0,0.500100741780367,"LOW HIGH",6.15910024369434
31,2,2.49984220299369,"LOW HIGH",12.8123670612902
79,2,2.4993075176776,"LOW HIGH",13.3326868471993
36,0,0.499000950999712,"LOW HIGH",6.46207619679729
53,1,1.49958169959595,"LOW HIGH",9.87260779342357
55,3,3.49889314069214,"LOW HIGH",14.0247808442378
10,4,4.49978036222102,"LOW HIGH",17.3053083828848
82,0,0.501452842449094,"LOW HIGH",6.3872388407952
75,3,3.50072688406835,"LOW HIGH",15.3816324525283
74,5,5.50007145605073,"LOW HIGH",16.4756474021623
36,4,4.500374494879,"LOW HIGH",17.4053398226082
20,0,0.499659878057254,"LOW HIGH",6.35655844464547
11,5,5.49982100738623,"LOW HIGH",16.7226346239953
7,0,0.500454798039334,"LOW HIGH",6.0007161872679
9,5,5.49988443022998,"LOW HIGH",16.7931566832743
12,6,6.49962211693632,"LOW HIGH",18.6307284388138
44,3,3.50107030257411,"LOW HIGH",14.2070550980171
51,1,1.49912511508581,"LOW HIGH",10.0210892884395
37,2,2.50018206708468,"LOW HIGH",12.4170493390575
98,4,4.50039102694342,"LOW HIGH",17.0654916136864
22,10,10.4998560982354,"LOW HIGH",18.8042423465468
66,3,3.49951758065039,"LOW HIGH",15.322068371256
97,3,3.50028301637027,"LOW HIGH",15.1580263309408
84,0,0.499835069130661,"LOW HIGH",6.3596956201359
45,0,0.500125678921777,"LOW HIGH",6.13372011535612
28,1,1.50129680496367,"LOW HIGH",9.88715059384706
94,0,0.498903388748869,"LOW HIGH",6.14120077193512
16,2,2.50013367083349,"LOW HIGH",12.3240499202415
34,0,0.499662821499178,"LOW HIGH",6.51608072279665
41,0,0.500698271140344,"LOW HIGH",6.4472159693678
78,0,0.498037435103858,"LOW HIGH",6.02596260194531
91,2,2.50047026297341,"LOW HIGH",12.6726932918703
12,0,0.498497006176057,"LOW HIGH",6.20840439913597
39,6,6.50066608565893,"LOW HIGH",19.0775834319245
58,0,0.500078394705318,"LOW HIGH",6.14360614665694
79,1,1.5001004637165,"LOW HIGH",9.78609251721004
83,3,3.50211146820396,"LOW HIGH",16.1701009937366
89,0,0.500562518464731,"LOW HIGH",6.20823281070452
10,0,0.499033970493651,"LOW HIGH",6.49799935558727
30,8,8.49904668350519,"LOW HIGH",21.5312160293239
27,5,5.50006639914099,"LOW HIGH",17.9343926994209
22,1,1.49886585617323,"LOW HIGH",9.66496955725627
43,0,0.499627909527105,"LOW HIGH",6.17282802584183
4,2,2.50018068774351,"LOW HIGH",12.8142296429684
85,2,2.49998589995593,"LOW HIGH",12.917000880194
38,2,2.50015393750917,"LOW HIGH",12.596538436339
22,2,2.49924331308085,"LOW HIGH",13.2859668893997
