"Year","Age","AgeE","FSIM","Length_cm"
48,1,1.5000745990091,"HIGH HIGH",9.49805812948535
1,0,0.500440822825577,"HIGH HIGH",6.46025800486583
33,1,1.49914229506747,"HIGH HIGH",9.73400911900072
57,0,0.497558631599452,"HIGH HIGH",6.36337387909462
41,4,4.49898356213909,"HIGH HIGH",14.9371361011062
25,3,3.49947379454007,"HIGH HIGH",14.4556878021274
30,0,0.501967621764201,"HIGH HIGH",6.25607316659872
53,2,2.49974100006164,"HIGH HIGH",12.4156249268253
82,1,1.50066463062717,"HIGH HIGH",9.9896348822438
36,1,1.50038513268117,"HIGH HIGH",9.9297382082261
60,0,0.50081817628919,"HIGH HIGH",6.18928901797831
36,0,0.498384970548563,"HIGH HIGH",6.27739066638507
66,0,0.499046106499405,"HIGH HIGH",6.22344265491443
57,0,0.500448476619487,"HIGH HIGH",6.41736709217434
41,0,0.500751145999075,"HIGH HIGH",6.43069934280499
4,2,2.50091088624246,"HIGH HIGH",12.2237228166602
61,0,0.499778695578898,"HIGH HIGH",6.42510076448155
12,8,8.5001404979002,"HIGH HIGH",22.0150172547037
74,0,0.500534430280143,"HIGH HIGH",5.93925868395706
22,3,3.49981545354708,"HIGH HIGH",13.6796804676571
67,0,0.499997526994157,"HIGH HIGH",6.3866813420775
25,5,5.49986972812565,"HIGH HIGH",18.39577157286
58,0,0.498719631831143,"HIGH HIGH",6.46966777949834
41,1,1.4991359411433,"HIGH HIGH",9.53403141848799
33,0,0.500946578924452,"HIGH HIGH",6.49364721441242
45,0,0.500067354294384,"HIGH HIGH",6.55677886592423
14,3,3.50088617793532,"HIGH HIGH",14.5265258215052
64,1,1.49839842542059,"HIGH HIGH",9.40444332985195
71,3,3.49992606289956,"HIGH HIGH",15.7812460216806
62,0,0.500645563349281,"HIGH HIGH",6.43495272818638
39,9,9.49904799670495,"HIGH HIGH",20.8199458793159
39,2,2.50098493842356,"HIGH HIGH",13.0993655407165
25,6,6.50050158971429,"HIGH HIGH",19.9212114860414
74,5,5.49820423078572,"HIGH HIGH",17.7347171751342
65,3,3.50002032795213,"HIGH HIGH",14.2330882192856
75,3,3.50032047470633,"HIGH HIGH",15.3780855761922
86,3,3.50032765845286,"HIGH HIGH",15.5806130038097
48,3,3.49876585630056,"HIGH HIGH",14.8080177339811
57,0,0.499976974975584,"HIGH HIGH",6.17455980384564
21,6,6.50046828402321,"HIGH HIGH",19.161021825704
43,0,0.49861776792855,"HIGH HIGH",6.10497786897074
92,2,2.49917998089408,"HIGH HIGH",12.0345338060503
59,0,0.500899041560349,"HIGH HIGH",6.28062036619847
27,3,3.49942857938991,"HIGH HIGH",14.5118567504065
52,0,0.499140193348434,"HIGH HIGH",6.51571439400347
24,4,4.49999014954598,"HIGH HIGH",17.9044166223393
14,2,2.49997657986849,"HIGH HIGH",13.3000437402273
42,6,6.50007769497307,"HIGH HIGH",18.4670267808464
39,2,2.50100052659901,"HIGH HIGH",13.7046824456655
91,0,0.499598887386861,"HIGH HIGH",6.04509626577769
45,4,4.49904952613699,"HIGH HIGH",17.3370886818207
8,2,2.49855029960964,"HIGH HIGH",13.1816836839802
55,5,5.5012727982622,"HIGH HIGH",16.1626720009488
38,0,0.498890042509838,"HIGH HIGH",6.18847270023051
39,2,2.50019355094001,"HIGH HIGH",12.6085246123857
67,0,0.499796864702183,"HIGH HIGH",6.48460938924143
30,1,1.49731630935265,"HIGH HIGH",10.1661520854869
57,0,0.498782355000637,"HIGH HIGH",6.51746903321367
56,5,5.49989343011972,"HIGH HIGH",17.7755433699059
88,1,1.49984422275559,"HIGH HIGH",9.40462644640932
37,4,4.49997624252766,"HIGH HIGH",16.577024402427
72,2,2.50018546759904,"HIGH HIGH",12.9217491699311
22,0,0.499968591110658,"HIGH HIGH",6.30159941925368
44,3,3.50029702060657,"HIGH HIGH",14.8576905159903
