"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
84,0,0.499121718769721,6.05377538383934,"HIGH LOW","late","low","R1",7.9481558506377
80,3,3.49948920527418,14.2503447548236,"HIGH LOW","late","low","R1",10.2998293866403
67,1,1.50096554000634,9.62405766670369,"HIGH LOW","early","high","R1",9.23416482936591
75,1,1.50022075197255,10.5113313080383,"HIGH LOW","late","low","R1",5.44131932547316
53,1,1.50019045090263,9.7692406265081,"HIGH LOW","early","high","R1",5.50994705269113
72,3,3.50032770297548,14.6340180620873,"HIGH LOW","early","high","R1",7.17977019911632
58,3,3.49901126680986,15.3494294487047,"HIGH LOW","early","high","R1",1.27832672093064
79,0,0.501290765018505,6.3468283532075,"HIGH LOW","late","low","R1",0.0199501877650619
54,1,1.49890449275231,9.70579143979378,"HIGH LOW","early","high","R1",10.9066513208672
57,5,5.50115039414421,17.4078984269299,"HIGH LOW","early","high","R1",9.93030097987503
91,1,1.50033146329061,10.4398035783547,"HIGH LOW","late","low","R1",3.83081722864881
90,0,0.500900084555467,6.22589052736887,"HIGH LOW","late","low","R1",6.07648961106315
73,2,2.50117509388974,13.2708353589035,"HIGH LOW","early","high","R1",13.6306096320041
71,2,2.49959226389347,11.769463992014,"HIGH LOW","early","high","R1",9.14088041102514
54,0,0.500328804365418,6.28953374085225,"HIGH LOW","early","high","R1",11.7950072954409
98,0,0.499579071345572,6.23886602231106,"HIGH LOW","late","low","R1",2.70624432014301
94,0,0.498700650186046,6.00873045723595,"HIGH LOW","late","low","R1",13.7536021168344
84,1,1.50029468057287,9.50390668339491,"HIGH LOW","late","low","R1",6.22428730875254
50,3,3.50109641893714,13.3954668803386,"HIGH LOW","early","high","R1",13.2460652128793
91,0,0.499641223912686,6.20321729668144,"HIGH LOW","late","low","R1",7.92307035531849
57,0,0.500193543085024,6.19524774588437,"HIGH LOW","early","high","R1",13.9913173783571
88,3,3.50135257540164,15.5847193569974,"HIGH LOW","late","low","R1",11.6895856517367
65,6,6.49984746781338,18.0201523809014,"HIGH LOW","early","high","R1",1.89443275006488
62,0,0.499656110991204,6.21219062293298,"HIGH LOW","early","high","R1",2.30818151542917
75,1,1.50078742220351,10.1009254756781,"HIGH LOW","late","low","R1",6.71222947118804
89,2,2.50018274467323,12.588538374137,"HIGH LOW","late","low","R1",11.4680441739038
74,0,0.498527028114177,6.54321267109948,"HIGH LOW","early","high","R1",3.63831450464204
59,2,2.49990820124885,12.5066483924835,"HIGH LOW","early","high","R1",8.76497683813795
79,0,0.498602291126161,6.30810001925059,"HIGH LOW","late","low","R1",13.2372866473161
81,2,2.49911323977936,12.2955994232424,"HIGH LOW","late","low","R1",5.24898428004235
70,3,3.50047749231451,14.8222450380559,"HIGH LOW","early","high","R1",12.2482944382355
56,0,0.499007091217743,6.5166085485454,"HIGH LOW","early","high","R1",5.31409305846319
61,4,4.50017446556005,17.1543314896407,"HIGH LOW","early","high","R1",12.3854766814038
69,3,3.50042358532253,14.1083112682508,"HIGH LOW","early","high","R1",5.31776115484536
62,0,0.499997740256361,6.01376640060752,"HIGH LOW","early","high","R1",6.60665058623999
95,4,4.50085715796484,17.0000180556549,"HIGH LOW","late","low","R1",7.29125775815919
59,0,0.497265198674977,6.12899336276249,"HIGH LOW","early","high","R1",5.43320102058351
81,0,0.501162720598398,6.05337571562801,"HIGH LOW","late","low","R1",8.9625591202639
66,2,2.50195195932567,13.3654582128744,"HIGH LOW","early","high","R1",7.1096085915342
74,3,3.50137296195679,13.2180263101678,"HIGH LOW","early","high","R1",13.3033772259951
58,3,3.50107803995967,13.9283754164587,"HIGH LOW","early","high","R1",6.87273995997384
94,3,3.50043438774314,14.0922999410001,"HIGH LOW","late","low","R1",2.63568320591003
93,0,0.499862108818973,6.3729136690196,"HIGH LOW","late","low","R1",7.45326924091205
64,0,0.498956473723717,5.92977302613818,"HIGH LOW","early","high","R1",1.18525687744841
90,4,4.50033821058699,15.4543133856233,"HIGH LOW","late","low","R1",12.597756982781
56,2,2.50028189096806,12.0160325893636,"HIGH LOW","early","high","R1",3.49009817279875
70,0,0.498806138776832,6.47057859417203,"HIGH LOW","early","high","R1",4.90066379541531
54,7,7.49980709916145,16.9211169865738,"HIGH LOW","early","high","R1",0.769629894290119
84,0,0.50058577484847,6.23785385558072,"HIGH LOW","late","low","R1",4.12346058664843
95,3,3.50128683595865,15.0720218962051,"HIGH LOW","late","low","R1",2.82999687222764
55,0,0.500138189361593,6.2999738160963,"HIGH LOW","early","high","R1",1.89622809831053
63,1,1.50089733511533,9.87530977748319,"HIGH LOW","early","high","R1",4.00635783746839
84,0,0.500493853777289,6.17534878446942,"HIGH LOW","late","low","R1",7.21211397228763
61,1,1.50175499160139,10.6633508867806,"HIGH LOW","early","high","R1",3.86918679112568
93,3,3.50123539232081,14.3679309507405,"HIGH LOW","late","low","R1",13.6890809386969
95,1,1.50008578508413,9.73562120134354,"HIGH LOW","late","low","R1",12.3670404609293
67,0,0.500864926352345,6.22826658874799,"HIGH LOW","early","high","R1",11.270143113099
85,2,2.49914956925222,11.1749869538182,"HIGH LOW","late","low","R1",10.1541853519157
83,0,0.499288474792319,6.15294884105486,"HIGH LOW","late","low","R1",6.3419231637381
61,0,0.499973526537467,6.29480580162424,"HIGH LOW","early","high","R1",13.1429095622152
50,0,0.500035699897776,6.28311929881378,"HIGH LOW","early","high","R1",4.49827528372407
94,1,1.49917396356726,9.83721678255713,"HIGH LOW","late","low","R1",1.28496955474839
73,1,1.50048530896971,10.613094781024,"HIGH LOW","early","high","R1",4.18832887941971
69,3,3.49952445892952,15.0143282690899,"HIGH LOW","early","high","R1",1.3045689901337
86,1,1.50000106752106,10.6148823733866,"HIGH LOW","late","low","R1",13.0871559125371
58,1,1.50075187776954,9.78278435258864,"HIGH LOW","early","high","R1",2.98329065321013
99,0,0.50006858883272,6.35539225452684,"HIGH LOW","late","low","R1",5.96537423646078
82,1,1.49867609080948,10.3803216109465,"HIGH LOW","late","low","R1",3.16414530808106
55,12,12.5015645317318,25.3869614749302,"HIGH LOW","early","high","R1",11.2169546382502
51,6,6.49820259177562,17.2047722937145,"HIGH LOW","early","high","R1",13.4242044533603
96,0,0.500813907347351,5.921447721788,"HIGH LOW","late","low","R1",10.5941985063255
66,2,2.50023927798388,11.213176982312,"HIGH LOW","early","high","R1",11.4476376022212
65,3,3.5002463207049,14.3988666113839,"HIGH LOW","early","high","R1",6.74884675815701
79,3,3.4974490210253,14.1359227054551,"HIGH LOW","late","low","R1",1.49994614953175
82,0,0.500411280628063,6.22541580111831,"HIGH LOW","late","low","R1",3.40482487948611
84,1,1.50044554750113,9.51793313531384,"HIGH LOW","late","low","R1",2.83163605816662
54,0,0.500180178597599,6.58780157566837,"HIGH LOW","early","high","R1",2.67807729868218
87,3,3.50072824813864,14.9285371546584,"HIGH LOW","late","low","R1",10.008592558559
61,1,1.50040104766438,9.97384372702864,"HIGH LOW","early","high","R1",1.77244356926531
58,0,0.501013930576723,6.27381742031392,"HIGH LOW","early","high","R1",9.22076513664797
84,0,0.499143445381716,6.23939515350764,"HIGH LOW","late","low","R1",9.36891542188823
76,0,0.501066445300418,6.21017526037299,"HIGH LOW","late","low","R1",0.0608636885881424
100,2,2.49973074088426,11.461292232373,"HIGH LOW","late","low","R1",11.55255882442
55,1,1.49774083690555,9.89331663041,"HIGH LOW","early","high","R1",10.0353019423783
83,2,2.49994031310655,12.250506130498,"HIGH LOW","late","low","R1",8.06966680800542
53,0,0.49982545612321,6.30210008397857,"HIGH LOW","early","high","R1",6.66370101738721
76,0,0.499014025396115,5.98703848014938,"HIGH LOW","late","low","R1",3.44048810889944
87,1,1.4996989319232,10.0610800696512,"HIGH LOW","late","low","R1",9.34383319923654
58,3,3.49999652433044,14.0583568302375,"HIGH LOW","early","high","R1",12.3768156222068
51,3,3.50090101440506,15.0973822958705,"HIGH LOW","early","high","R1",2.93179018050432
71,3,3.49997254268021,14.8002301484327,"HIGH LOW","early","high","R1",4.68916849745438
65,1,1.5004939969015,10.0754238436096,"HIGH LOW","early","high","R1",9.85585378482938
66,7,7.49887657901302,17.3336872013638,"HIGH LOW","early","high","R1",9.97765413857996
93,4,4.50075253825444,17.82686404243,"HIGH LOW","late","low","R1",0.394980127923191
68,6,6.50097165215971,17.8289326954633,"HIGH LOW","early","high","R1",5.93503986811265
94,0,0.49960865144066,6.14638599211399,"HIGH LOW","late","low","R1",9.97132955864072
84,0,0.501395205734677,6.4054750607291,"HIGH LOW","late","low","R1",4.1873733419925
69,4,4.50054372298212,18.4547899177642,"HIGH LOW","early","high","R1",9.76987625518814
70,2,2.50137879548929,12.8254713769778,"HIGH LOW","early","high","R1",12.652723624371
62,1,1.50034944884779,9.60508961044597,"HIGH LOW","early","high","R1",8.31231695227325
69,9,9.50001271379052,21.8554446421171,"HIGH LOW","early","high","R1",13.4507155180909
70,6,6.49992576648906,22.3271754745196,"HIGH LOW","early","high","R1",8.66554492898285
74,2,2.49945051399916,13.1774050836502,"HIGH LOW","early","high","R1",1.30124784540385
64,0,0.500590099320865,6.46282043356799,"HIGH LOW","early","high","R1",9.57525932928547
78,1,1.50062718920778,9.53431495316748,"HIGH LOW","late","low","R1",1.19229817809537
94,2,2.49999909761713,12.7166621732705,"HIGH LOW","late","low","R1",13.0593252652325
55,2,2.50000658596331,13.4453627735812,"HIGH LOW","early","high","R1",4.45975920418277
51,0,0.500184954135652,6.3787507997216,"HIGH LOW","early","high","R1",10.8100921912119
58,2,2.50063061041878,12.8810073193372,"HIGH LOW","early","high","R1",0.81808146648109
67,1,1.49936047933665,9.86258390650402,"HIGH LOW","early","high","R1",6.31507221097127
63,0,0.500575167386887,6.32261381067202,"HIGH LOW","early","high","R1",12.778027750086
61,3,3.49906859805568,13.5719038705175,"HIGH LOW","early","high","R1",8.73565724119544
68,4,4.50007125164076,16.3218846811944,"HIGH LOW","early","high","R1",13.3758380911313
50,0,0.499831353139538,6.37089445702927,"HIGH LOW","early","high","R1",8.22321843216196
74,0,0.499725913945136,6.43018866880628,"HIGH LOW","early","high","R1",6.92918099043891
84,1,1.50212880525392,10.4962221523922,"HIGH LOW","late","low","R1",2.82902598520741
81,0,0.499289594267008,6.10089729823168,"HIGH LOW","late","low","R1",13.7928745443933
54,2,2.49979058301698,12.535417414102,"HIGH LOW","early","high","R1",12.248491440434
98,0,0.500200561424225,6.19256906674509,"HIGH LOW","late","low","R1",6.70524240750819
58,0,0.501614876811547,6.04033958190957,"HIGH LOW","early","high","R1",12.7951771081425
77,1,1.49759555270483,9.57417548415659,"HIGH LOW","late","low","R1",10.8616949282587
61,1,1.49957963116774,9.87340987407641,"HIGH LOW","early","high","R1",0.566364080645144
60,1,1.49938799466746,9.80718972554477,"HIGH LOW","early","high","R1",6.10444739693776
68,4,4.50017933233177,19.013080092361,"HIGH LOW","early","high","R1",4.51654357463121
74,3,3.49925875320616,16.2580118783675,"HIGH LOW","early","high","R1",3.14403685554862
68,4,4.50036195213449,17.7443757889399,"HIGH LOW","early","high","R1",2.73469093954191
66,4,4.49858708615834,17.1963454181738,"HIGH LOW","early","high","R1",10.3401325219311
73,5,5.4974633169161,18.7776326215411,"HIGH LOW","early","high","R1",13.9537174110301
88,2,2.50134290750332,14.1288031961837,"HIGH LOW","late","low","R1",12.7781598074362
78,0,0.50164104855029,6.2577989428724,"HIGH LOW","late","low","R1",2.45188224408776
68,5,5.49873165676968,21.0044387522927,"HIGH LOW","early","high","R1",1.22122470941395
70,5,5.50029401204162,17.320027930164,"HIGH LOW","early","high","R1",8.08344354527071
50,1,1.5010978325602,10.060724782413,"HIGH LOW","early","high","R1",9.22929693525657
55,1,1.49856076234876,9.3712878891158,"HIGH LOW","early","high","R1",6.29742568777874
97,0,0.500326476691428,6.27186095528631,"HIGH LOW","late","low","R1",4.33081782469526
68,1,1.50157354634118,10.3065237562731,"HIGH LOW","early","high","R1",2.29711599415168
70,0,0.50009290173108,6.16622891350627,"HIGH LOW","early","high","R1",0.559819058515131
53,1,1.49918774927178,9.95121071688071,"HIGH LOW","early","high","R1",1.29589879419655
