"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
51,2,2.50010759454933,13.5360630369716,"LOW LOW","early","low","R1",7.60777509538457
61,2,2.49923334639649,13.8329299720126,"LOW LOW","early","low","R1",5.96451283385977
78,2,2.49923014846164,12.3156566113484,"LOW LOW","late","low","R1",8.90699153020978
91,1,1.50069457255792,9.62672290627137,"LOW LOW","late","low","R1",0.993201449513435
70,2,2.49946545369174,12.6681584328189,"LOW LOW","early","low","R1",11.2260061423294
82,4,4.4997733989617,15.7412459524905,"LOW LOW","late","low","R1",8.58514205599204
86,0,0.500001227718506,6.46180884580194,"LOW LOW","late","low","R1",5.98026999458671
69,1,1.49877481618564,9.27119862587483,"LOW LOW","early","low","R1",10.3228598390706
83,0,0.499292668793642,6.02126116564031,"LOW LOW","late","low","R1",5.31656266096979
91,3,3.49859068369684,15.0753965674925,"LOW LOW","late","low","R1",5.33283867640421
99,0,0.500265139953587,6.34679406991238,"LOW LOW","late","low","R1",8.79400272620842
72,0,0.498882846849263,6.24158539036297,"LOW LOW","early","low","R1",9.76302656531334
96,6,6.50006039022427,20.3045988628715,"LOW LOW","late","low","R1",8.44762599421665
76,0,0.500041353281353,6.43500627012442,"LOW LOW","late","low","R1",0.250785275362432
68,2,2.50045092250883,12.3767042317626,"LOW LOW","early","low","R1",1.57338240975514
66,0,0.499166804538188,6.36875360194152,"LOW LOW","early","low","R1",7.73434855649248
76,4,4.49993181373757,14.1410092800195,"LOW LOW","late","low","R1",2.68993124598637
66,0,0.500376869287106,6.08104481425446,"LOW LOW","early","low","R1",5.76138585759327
90,1,1.49975934911268,9.62476362584842,"LOW LOW","late","low","R1",4.00559143023565
50,1,1.4996142204427,9.67045163734198,"LOW LOW","early","low","R1",8.37317619798705
84,0,0.501411552071873,6.3489963797326,"LOW LOW","late","low","R1",12.6230866666883
88,2,2.50112791553747,13.1557933801162,"LOW LOW","late","low","R1",7.34062858484685
69,3,3.50010199284647,15.3205474714636,"LOW LOW","early","low","R1",3.38744079880416
88,2,2.49950162197348,13.5182067423028,"LOW LOW","late","low","R1",0.817037635482848
73,0,0.496712525356828,6.53053084426121,"LOW LOW","early","low","R1",10.289515894372
87,2,2.5006066838743,11.6733900668312,"LOW LOW","late","low","R1",7.6419065403752
99,0,0.499217888622815,5.94733672220853,"LOW LOW","late","low","R1",6.02524795616046
51,0,0.501111202443791,6.09272006569546,"LOW LOW","early","low","R1",13.6690589380451
63,0,0.500561127900126,6.48854834810482,"LOW LOW","early","low","R1",9.67346040578559
79,0,0.500138105789564,6.27741424953415,"LOW LOW","late","low","R1",7.20963580347598
78,4,4.500989425563,16.7101685192074,"LOW LOW","late","low","R1",5.67463302845135
91,1,1.49936144779422,9.91833633978975,"LOW LOW","late","low","R1",10.9487103694119
84,0,0.500103747915127,6.3883375584479,"LOW LOW","late","low","R1",6.32993578352034
69,3,3.49945101585273,14.5436793253231,"LOW LOW","early","low","R1",3.60843103099614
58,2,2.50019811824974,12.8990637599661,"LOW LOW","early","low","R1",6.31840985268354
54,1,1.50089204032379,9.69892117146909,"LOW LOW","early","low","R1",13.9011656460352
73,2,2.49906553888492,12.8379459047494,"LOW LOW","early","low","R1",3.81550205405802
87,5,5.50179674304691,17.4022314278626,"LOW LOW","late","low","R1",1.49238684168085
68,7,7.49960500097125,21.222302034274,"LOW LOW","early","low","R1",8.27278801472858
92,0,0.499915025571417,6.42875275651051,"LOW LOW","late","low","R1",13.5051448489539
53,1,1.49906805302842,9.92314373847135,"LOW LOW","early","low","R1",0.944833568297327
76,0,0.499468155318712,6.47064151451212,"LOW LOW","late","low","R1",7.62947251927108
81,2,2.50088854306885,12.6423488387078,"LOW LOW","late","low","R1",10.7628657734022
57,2,2.50021690393228,13.4572064731655,"LOW LOW","early","low","R1",9.78593165241182
94,2,2.50142303144175,11.5258899555002,"LOW LOW","late","low","R1",10.8977948534302
87,0,0.499066028314924,6.20128299390829,"LOW LOW","late","low","R1",6.36902532307431
67,0,0.499600321940537,4.94489774516745,"LOW LOW","early","low","R2",23.9214858412743
75,0,0.498484994809042,4.83745281796584,"LOW LOW","late","low","R2",17.375150996726
80,1,1.49920297458892,15.7362960006179,"LOW LOW","late","low","R2",14.7242447920144
89,1,1.49963898089061,16.3519509887891,"LOW LOW","late","low","R2",21.1095950314775
91,1,1.49931934454882,15.9296354326896,"LOW LOW","late","low","R2",20.110050435178
68,0,0.500084008587154,4.93613550816578,"LOW LOW","early","low","R2",25.1114031700417
70,0,0.500229676747901,5.00716235465202,"LOW LOW","early","low","R2",14.8773416164331
75,0,0.498430301364256,4.88080295240766,"LOW LOW","late","low","R2",16.8229894391261
66,0,0.499932667620472,5.00741308680423,"LOW LOW","early","low","R2",15.3489862368442
91,0,0.500793602379701,5.06801216577673,"LOW LOW","late","low","R2",23.9125437922776
80,1,1.50024572459318,15.9524112305563,"LOW LOW","late","low","R2",23.4692843928933
59,1,1.50047485140846,15.9759340145585,"LOW LOW","early","low","R2",21.994411945343
67,1,1.50177824888342,16.4446590440026,"LOW LOW","early","low","R2",16.7111107246019
70,0,0.500347213790782,4.80373818206599,"LOW LOW","early","low","R2",19.4236947004683
68,2,2.50104880908504,21.2539695212506,"LOW LOW","early","low","R2",24.4426750852726
93,0,0.499954022051146,4.92254299036648,"LOW LOW","late","low","R2",21.5439230017364
