"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
95,1,1.50122917261573,9.9279872558781,"MED HIGH",0.360242580575868,"late","high","R1",2.29314061254263
50,2,2.49900752827881,12.6709228830824,"MED HIGH",0.201883558207192,"early","med","R1",1.9769409392029
59,1,1.49939522477161,9.70669952261416,"MED HIGH",0.222137144138105,"early","med","R1",8.84152580611408
96,2,2.50075970931118,13.7256877497896,"MED HIGH",0.306249077804387,"late","high","R1",4.47429327387363
76,0,0.499025270539663,6.36317220323444,"MED HIGH",0.325407474744134,"late","high","R1",5.24992323247716
63,0,0.498546213422055,6.37958187028996,"MED HIGH",0.251094830874354,"early","med","R1",11.7344747036695
97,2,2.49883862502443,12.5945944196601,"MED HIGH",0.313531100214459,"late","high","R1",11.9460543836467
60,1,1.50098211352854,9.42033504791661,"MED HIGH",0.263949773600325,"early","med","R1",1.8003810509108
54,13,13.5000803768741,22.4178423652385,"MED HIGH",0.292862975317985,"early","med","R1",6.70465272758156
59,0,0.499160300382975,6.33464422798434,"MED HIGH",0.222137144138105,"early","med","R1",1.76099687349051
57,3,3.50067608088365,14.895245125126,"MED HIGH",0.29684264541138,"early","med","R1",3.93781763780862
77,0,0.500562121663402,6.47116132874866,"MED HIGH",0.331092884880491,"late","high","R1",5.27793979272246
92,1,1.50221003023079,9.92677524338484,"MED HIGH",0.316594411269762,"late","high","R1",6.94853455526754
85,0,0.499440737037495,6.24957592333673,"MED HIGH",0.394683823594824,"late","high","R1",12.3275766735896
89,1,1.49954182831588,10.2322884485225,"MED HIGH",0.321566045796499,"late","high","R1",13.3255629357882
50,0,0.498774552721884,6.2639973812778,"MED HIGH",0.272904596850276,"early","med","R1",5.59301702259108
85,0,0.501408329537739,6.37312229543093,"MED HIGH",0.315670153265819,"late","high","R1",2.48039983864874
57,2,2.5014374820563,12.1871382759881,"MED HIGH",0.29684264541138,"early","med","R1",10.9538257052191
51,2,2.5016828169548,13.1830525902233,"MED HIGH",0.287698160507716,"early","med","R1",8.81419113418087
96,0,0.498768567985046,6.13790119537877,"MED HIGH",0.335842722933739,"late","high","R1",11.6959264711477
59,0,0.500955413778377,6.34592408167853,"MED HIGH",0.222137144138105,"early","med","R1",13.0237190108746
61,0,0.500498698752719,6.17205681788989,"MED HIGH",0.298738899105228,"early","med","R1",1.13207577914
55,0,0.499329570911851,6.1570616136387,"MED HIGH",0.207602385245264,"early","med","R1",2.25337221939117
65,0,0.499650388032107,6.0499190713383,"MED HIGH",0.266247741458938,"early","med","R1",1.47061417577788
76,4,4.49983336918776,15.7777901714044,"MED HIGH",0.325407474744134,"late","high","R1",10.3236754341051
83,0,0.500164707550004,6.38960065032682,"MED HIGH",0.39358364387881,"late","high","R1",4.06979326251894
81,0,0.498744339628874,6.11736003223545,"MED HIGH",0.334495557309128,"late","high","R1",10.9179218793288
55,2,2.50073810951633,12.4395941696509,"MED HIGH",0.254678992461413,"early","med","R1",0.751482610590756
81,1,1.49952970996434,9.13810761995693,"MED HIGH",0.396856973576359,"late","high","R1",11.461705293972
55,1,1.4990272926864,9.76623743002624,"MED HIGH",0.250695749535225,"early","med","R1",5.49768024077639
76,3,3.49980249253908,15.1149861208039,"MED HIGH",0.325407474744134,"late","high","R1",10.622918699868
77,1,1.49968912899016,10.0680934063336,"MED HIGH",0.331092884880491,"late","high","R1",8.25103960046545
66,1,1.50040030274156,10.1497127860374,"MED HIGH",0.268124914658256,"early","med","R1",12.4550558323972
51,5,5.49968492422949,15.4934539625335,"MED HIGH",0.212457338580862,"early","med","R1",6.71636365540326
95,0,0.500472991395803,5.9793350376105,"MED HIGH",0.360242580575868,"late","high","R1",8.48232624772936
69,1,1.49955958966355,10.0683381562833,"MED HIGH",0.286612866423093,"early","med","R1",2.26336315833032
55,0,0.500353029994561,6.57997743649522,"MED HIGH",0.250695749535225,"early","med","R1",9.91616050386801
77,6,6.49934906617197,16.8376517791871,"MED HIGH",0.353609443991445,"late","high","R1",11.0420498331077
94,1,1.49994970345603,10.326219840751,"MED HIGH",0.388969730143435,"late","high","R1",6.27659129630774
72,0,0.500220407128192,6.3124358007803,"MED HIGH",0.257384142908268,"early","med","R1",11.1436898019165
75,2,2.50024873136359,12.3564339883139,"MED HIGH",0.371476589259692,"late","high","R1",5.21908873924986
64,0,0.499567921092069,6.38020545220168,"MED HIGH",0.291889502899721,"early","med","R1",9.53386733774096
50,4,4.49876093029143,17.00350145531,"MED HIGH",0.227783546014689,"early","med","R1",5.48328587878495
54,4,4.49816909784328,15.2538002085257,"MED HIGH",0.211713727912866,"early","med","R1",12.5420841719024
51,5,5.49864503969904,18.0197043535574,"MED HIGH",0.292261860892177,"early","med","R1",4.28377548791468
75,1,1.50046561395339,10.2322557134214,"MED HIGH",0.349712847382762,"late","high","R1",9.02092868741602
80,0,0.500788513166008,6.37399410499893,"MED HIGH",0.347274255403318,"late","high","R1",8.61824164260179
71,1,1.50118426583916,9.67145052043265,"MED HIGH",0.298905831528828,"early","med","R1",13.7693527387455
64,0,0.502548946896739,6.65239085606483,"MED HIGH",0.267005654866807,"early","med","R1",3.46433906862512
75,1,1.50056858160974,9.08099584855084,"MED HIGH",0.379796546511352,"late","high","R1",12.7201614957303
78,1,1.4986994503418,9.85832176661413,"MED HIGH",0.308813040843233,"late","high","R1",4.27780590439215
60,1,1.4994937581824,9.8342857292462,"MED HIGH",0.256116138957441,"early","med","R1",12.1390614537522
94,0,0.499454836814473,6.4240551912386,"MED HIGH",0.388969730143435,"late","high","R1",8.87435814552009
70,1,1.49978261961751,9.206840136544,"MED HIGH",0.252095899078995,"early","med","R1",3.98848343361169
86,0,0.499355011595914,5.92056657327308,"MED HIGH",0.370468804519623,"late","high","R1",2.07223264034837
61,0,0.498341552590739,6.13020268975429,"MED HIGH",0.298738899105228,"early","med","R1",1.98306388501078
92,1,1.50021035918143,10.4363236248199,"MED HIGH",0.340194478188641,"late","high","R1",4.9769862126559
79,0,0.499946440666914,6.32623910673271,"MED HIGH",0.33162242830731,"late","high","R1",13.4169474989176
82,3,3.49909204306807,16.7480384819447,"MED HIGH",0.339733613398857,"late","high","R1",13.5390528300777
62,1,1.50051812359992,9.85051293298272,"MED HIGH",0.291581409424543,"early","med","R1",7.49335579993203
