"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG","Latitude_dd"
70,0,0.501394400273641,6.18016684757525,"HIGH HIGH HIGH",0.398979480937123,"R0",38.642044889275
81,0,0.498420194638183,6.45401887573332,"HIGH HIGH HIGH",0.320955209317617,"R0",13.6830664472654
61,3,3.49855279025233,14.0864088829379,"HIGH HIGH HIGH",0.376499193301424,"R0",26.4266855781898
59,0,0.498718121786696,6.28066887184142,"HIGH HIGH HIGH",0.381002665846609,"R0",33.85258364724
72,3,3.50147943970829,15.0654773695864,"HIGH HIGH HIGH",0.309789020405151,"R0",1.46864643320441
72,1,1.50075058978857,9.82516808229723,"HIGH HIGH HIGH",0.316479602013715,"R0",24.187201319728
82,3,3.50041341320214,14.9354606912069,"HIGH HIGH HIGH",0.343013756908476,"R0",9.7535765147768
60,1,1.49991506472706,9.87369264782706,"HIGH HIGH HIGH",0.396629973081872,"R0",39.1090047894977
89,0,0.501234252202955,6.30138499161588,"HIGH HIGH HIGH",0.333824844262563,"R0",35.1313387509435
56,0,0.501691248616183,6.54759801144629,"HIGH HIGH HIGH",0.321598466043361,"R0",21.9697175547481
53,1,1.49998076237578,9.501483409667,"HIGH HIGH HIGH",0.353297635097988,"R0",39.2508030054159
76,1,1.50015343100597,10.0745931952152,"HIGH HIGH HIGH",0.375811742106453,"R0",3.56576527701691
60,0,0.499701075307772,6.0330184008135,"HIGH HIGH HIGH",0.369340617675334,"R0",10.1412201998755
52,0,0.500432076271246,6.26996795428567,"HIGH HIGH HIGH",0.321623515291139,"R0",21.5938892797567
70,2,2.50019813739169,13.7145892187963,"HIGH HIGH HIGH",0.398979480937123,"R0",49.3251103092916
53,1,1.50103731502299,9.70722488489506,"HIGH HIGH HIGH",0.382527600112371,"R0",39.8025319445878
52,0,0.499075034336821,6.16538207374742,"HIGH HIGH HIGH",0.321623515291139,"R0",36.7210058146156
50,3,3.49982140666349,15.4630061224526,"HIGH HIGH HIGH",0.332097935420461,"R0",47.8354144957848
68,0,0.499106294449449,6.16162123632731,"HIGH HIGH HIGH",0.301677289721556,"R0",27.7545586577617
77,3,3.50003403081289,14.3053246045325,"HIGH HIGH HIGH",0.349710038932972,"R0",7.06848219269887
60,1,1.49922329368686,10.2961085151223,"HIGH HIGH HIGH",0.344003864820115,"R0",21.1631053243764
52,4,4.49946549928046,14.7682080887827,"HIGH HIGH HIGH",0.327238337742165,"R0",1.84147799154744
85,0,0.4998676013617,6.19964643956393,"HIGH HIGH HIGH",0.399983945325948,"R0",8.67003747262061
50,0,0.500979663189921,6.26724957451799,"HIGH HIGH HIGH",0.332097935420461,"R0",18.5965361772105
93,0,0.498305757063472,6.46420693042759,"HIGH HIGH HIGH",0.398818186298013,"R0",14.4759606570005
59,0,0.500258685666616,6.30976631190729,"HIGH HIGH HIGH",0.368640755978413,"R0",15.7993681030348
84,1,1.50018213361087,9.73304466484211,"HIGH HIGH HIGH",0.399046571063809,"R0",26.1663557263091
55,2,2.49883719512002,13.1290539916018,"HIGH HIGH HIGH",0.339297564630397,"R0",5.81539690028876
92,0,0.499462371883596,6.16901859310629,"HIGH HIGH HIGH",0.351846964540891,"R0",43.7055723043159
64,0,0.499939641396127,6.28296697440274,"HIGH HIGH HIGH",0.378596871881746,"R0",36.592065251898
84,3,3.50128786482561,14.1148157970961,"HIGH HIGH HIGH",0.32057208402548,"R0",6.40878148842603
52,6,6.49912360610866,18.4069320939938,"HIGH HIGH HIGH",0.317683606012724,"R0",31.4854936674237
88,0,0.498698785901323,6.3530268101419,"HIGH HIGH HIGH",0.352709436160512,"R0",12.745279725641
51,1,1.50262444443263,10.3705365615018,"HIGH HIGH HIGH",0.37401161629241,"R0",10.3643189417198
99,2,2.5007709979631,11.4756868847114,"HIGH HIGH HIGH",0.374251504195854,"R0",30.0653517362662
63,0,0.501085019371546,6.33807366424905,"HIGH HIGH HIGH",0.383246295992285,"R0",41.8144366703928
50,3,3.49895401185128,15.6458078181265,"HIGH HIGH HIGH",0.332097935420461,"R0",3.53719652630389
94,0,0.500143070922705,6.14283865064056,"HIGH HIGH HIGH",0.318858661781997,"R0",19.5464646443725
84,3,3.49764316934564,14.9723910617252,"HIGH HIGH HIGH",0.399046571063809,"R0",46.5228249318898
88,4,4.49993889363693,16.6198203649972,"HIGH HIGH HIGH",0.352709436160512,"R0",27.8040462173522
59,5,5.50077648126314,18.2052947373356,"HIGH HIGH HIGH",0.368640755978413,"R0",27.1761940210126
58,1,1.50006673206378,10.1311846177212,"HIGH HIGH HIGH",0.372954647103325,"R0",45.5322426743805
55,0,0.497810627856348,6.07147542895615,"HIGH HIGH HIGH",0.339297564630397,"R0",7.88170449668542
55,2,2.50078119187129,12.2108636618926,"HIGH HIGH HIGH",0.339297564630397,"R0",8.34680811967701
99,0,0.496224397306423,5.77895187300017,"HIGH HIGH HIGH",0.398911990039051,"R0",6.25556632876396
66,2,2.50014517240963,12.6814270138356,"HIGH HIGH HIGH",0.377435474330559,"R0",44.972879672423
