"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
78,2,2.49864305866211,12.7202024009528,"MED MED MED",0.234278913890012,"late","med","R0",49.7958998079412
71,1,1.49995509327977,9.4973234973447,"MED MED MED",0.226757501228712,"early","med","R0",29.4092432595789
64,0,0.500345717142654,6.23321520185422,"MED MED MED",0.252683880366385,"early","med","R0",26.0361561668105
84,0,0.499256706870247,6.36777694458287,"MED MED MED",0.292980698030442,"late","med","R0",43.8774116104469
85,1,1.50165913334659,10.4749501530873,"MED MED MED",0.286327711422928,"late","med","R0",49.0591053618118
67,0,0.499820970672659,6.30240768329349,"MED MED MED",0.224538515182212,"early","med","R0",2.94107614317909
62,0,0.498285564096765,6.43088883226901,"MED MED MED",0.299159175623208,"early","med","R0",37.9706302424893
96,1,1.49981810183005,10.2405190552145,"MED MED MED",0.296038426784799,"late","med","R0",45.2969309291802
66,3,3.50156925772894,15.7757579525363,"MED MED MED",0.278329792874865,"early","med","R0",27.512240561191
91,0,0.498523863767512,6.20475257590356,"MED MED MED",0.226954883779399,"late","med","R0",2.80645673628896
51,1,1.50124058263157,10.1460921046845,"MED MED MED",0.240858309762552,"early","med","R0",0.342523527797312
86,2,2.49953350426311,12.0081782945574,"MED MED MED",0.208665542374365,"late","med","R0",13.4111126419157
55,0,0.499409447873588,6.39008503186471,"MED MED MED",0.29076803131029,"early","med","R0",39.1859800671227
51,0,0.499078142886332,6.02893884583014,"MED MED MED",0.255033632717095,"early","med","R0",29.8134250100702
67,1,1.49883219230637,9.1507469820278,"MED MED MED",0.276335645234212,"early","med","R0",9.64856158243492
80,3,3.50012129050648,15.00232121543,"MED MED MED",0.228745211288333,"late","med","R0",32.2812261641957
99,0,0.499622588428297,6.08365712966931,"MED MED MED",0.258770094998181,"late","med","R0",13.1560928421095
69,0,0.500930246163092,6.26251032170741,"MED MED MED",0.233568668738008,"early","med","R0",28.3066445146687
59,1,1.49838295684287,9.8892504231934,"MED MED MED",0.291843802318908,"early","med","R0",3.98188926046714
57,4,4.50071369328276,17.1907736277976,"MED MED MED",0.248992467834614,"early","med","R0",35.5527464533225
89,4,4.50133166857039,15.7027506337727,"MED MED MED",0.25091951827053,"late","med","R0",35.6229085708037
63,1,1.50116912436929,9.76298093158306,"MED MED MED",0.209245500573888,"early","med","R0",9.16757981758565
52,0,0.500507558471732,6.2637276490143,"MED MED MED",0.240894607431255,"early","med","R0",33.688147959765
59,2,2.50031616659076,12.4999446227418,"MED MED MED",0.244663478340954,"early","med","R0",12.3372353613377
